para,dist,mean,sd,upper,lower,dis_type,cal_include,default
rain,uniform,1,1,1.2,0.8,uniform,1,1
n_0,uniform,1,1,1.9,0.1,uniform,1,1
n_1,uniform,1,1,1.9,0.1,uniform,1,1
n_2,uniform,1,1,1.9,0.1,uniform,1,1
n_3,uniform,1,1,1.9,0.1,uniform,1,1
n_4,uniform,1,1,1.9,0.1,uniform,1,1
n_5,uniform,1,1,1.9,0.1,uniform,1,1
n_6,uniform,1,1,1.9,0.1,uniform,1,1
n_7,uniform,1,1,1.9,0.1,uniform,1,1
ksat1_0,uniform,1,1,5,0.2,uniform,1,1
ksat1_1,uniform,1,1,5,0.2,uniform,1,1
ksat1_2,uniform,1,1,5,0.2,uniform,1,1
ksat1_3,uniform,1,1,5,0.2,uniform,1,1
ksat1_4,uniform,1,1,5,0.2,uniform,1,1
ksat1_5,uniform,1,1,5,0.2,uniform,1,1
ksat1_6,uniform,1,1,5,0.2,uniform,1,1
ksat1_7,uniform,1,1,5,0.2,uniform,1,1
psi1_0,uniform,1,1,17,2,uniform,1,1
psi1_1,uniform,1,1,17,2,uniform,1,1
psi1_2,uniform,1,1,17,2,uniform,1,1
psi1_3,uniform,1,1,17,2,uniform,1,1
psi1_4,uniform,1,1,17,2,uniform,1,1
psi1_5,uniform,1,1,17,2,uniform,1,1
psi1_6,uniform,1,1,17,2,uniform,1,1
psi1_7,uniform,1,1,17,2,uniform,1,1
thetai1_0,uniform,1,1,1.2,0.8,uniform,1,1
thetai1_1,uniform,1,1,1.2,0.8,uniform,1,1
thetai1_2,uniform,1,1,1.2,0.8,uniform,1,1
thetai1_3,uniform,1,1,1.2,0.8,uniform,1,1
thetai1_4,uniform,1,1,1.2,0.8,uniform,1,1
thetai1_5,uniform,1,1,1.2,0.8,uniform,1,1
thetai1_6,uniform,1,1,1.2,0.8,uniform,1,1
thetai1_7,uniform,1,1,1.2,0.8,uniform,1,1
